name,url,uploads,subsribers,views,country,channeltype,facebooklink,twitterlink
BillionSurpriseToys - Nursery…,https://socialblade.com/youtube/c/billionsurprisetoystm,237,19444632,6333845940,MX,education,https://youtube.com/channel/UCRx3mKNUdl8QE06nEug7p6Q,https://twitter.com/billionsurprise
shane,https://socialblade.com/youtube/user/shane,1731,19291414,4603833197,US,comedy,https://youtube.com/channel/UCV9_KinVpV-snHe3C3n1hvA,https://twitter.com/#!/shanedawson
GR6 EXPLODE,https://socialblade.com/youtube/user/gr6explode,2634,19426637,8828791279,BR,music,https://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA,
David Guetta,https://socialblade.com/youtube/user/davidguettavevo,463,19222933,10371073516,US,music,https://youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg,https://twitter.com/#!/davidguetta
ArianaGrandeVevo,https://socialblade.com/youtube/user/arianagrandevevo,95,19062650,9928762097,US,music,https://youtube.com/channel/UC0VOyT2OCBKdQhF3BAbZ-1g,https://twitter.com/arianagrande
J Balvin,https://socialblade.com/youtube/user/jbalvintube,39,19106925,113251100,CO,music,https://youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg,https://www.twitter.com/jbalvin
The Tonight Show Starring Jimmy…,https://socialblade.com/youtube/c/thetonightshowstarringjimmyfallon,4819,19042333,10236338689,US,comedy,https://youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g,https://www.twitter.com/fallontonight
JennaMarbles,https://socialblade.com/youtube/user/jennamarbles,428,18878721,2927078819,US,comedy,https://youtube.com/channel/UC9gFih9rw0zNCK3ZtoKQQyA,https://twitter.com/jenna_marbles
ibighit,https://socialblade.com/youtube/user/ibighit,280,19014393,4065063053,KR,music,https://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA,https://twitter.com/#!/bighitent
Wave Music,https://socialblade.com/youtube/s/?q=UC22nIfOTM7KLIQuFGMKzQbg,16888,19105592,12703648642,IN,music,https://youtube.com/channel/UC22nIfOTM7KLIQuFGMKzQbg,
Você Sabia?,https://socialblade.com/youtube/s/?q=UCj0O6W8yDuLg3iraAXKgCrQ,681,19143712,2061218195,BR,entertainment,https://youtube.com/channel/UCj0O6W8yDuLg3iraAXKgCrQ,https://twitter.com/lukasmarqs
enchufetv,https://socialblade.com/youtube/c/enchufetv ,1082,18826326,6413672389,CO,comedy,https://youtube.com/channel/UCoGDh1Xa3kUCpok24JN5DKA,https://twitter.com/enchufetv
